Date_ItemName_ENG,LocalHealthBoard_ItemName_ENG,Indicator_ItemName_ENG,Data
06-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,27
06-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
06-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,5
06-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),17
06-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,38
06-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
06-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,0
06-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),123
06-Apr-20,Wales,Non-COVID-19 admissions&#10;,401
07-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),63
07-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,167
07-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),28
07-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,99
07-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),22
07-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,153
07-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),41
07-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,48
07-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),14
07-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,64
07-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
07-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,6
07-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),27
07-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,39
07-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),1
07-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,4
07-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),196
07-Apr-20,Wales,Non-COVID-19 admissions&#10;,574
08-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),24
08-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,151
08-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),32
08-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,91
08-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),26
08-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,184
08-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),25
08-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,55
08-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),15
08-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,72
08-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
08-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,7
08-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),36
08-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,27
08-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
08-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,4
08-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),158
08-Apr-20,Wales,Non-COVID-19 admissions&#10;,584
09-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),18
09-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,136
09-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),16
09-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,96
09-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),21
09-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,140
09-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),25
09-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,63
09-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),14
09-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,80
09-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
09-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,8
09-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),32
09-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,49
09-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
09-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,9
09-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),126
09-Apr-20,Wales,Non-COVID-19 admissions&#10;,573
10-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),27
10-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,105
10-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),16
10-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,113
10-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),28
10-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,117
10-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),23
10-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,57
10-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),16
10-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,57
10-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
10-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,9
10-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),19
10-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,21
10-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
10-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,4
10-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),129
10-Apr-20,Wales,Non-COVID-19 admissions&#10;,474
11-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),33
11-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,90
11-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),12
11-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,55
11-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),18
11-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,106
11-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),13
11-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,52
11-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),19
11-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,49
11-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
11-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,10
11-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),11
11-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,42
11-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
11-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,6
11-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),106
11-Apr-20,Wales,Non-COVID-19 admissions&#10;,400
12-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),20
12-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,72
12-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),36
12-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,51
12-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),31
12-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,105
12-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),31
12-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,35
12-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),17
12-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,51
12-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
12-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,11
12-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),33
12-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,14
12-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
12-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,1
12-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),168
12-Apr-20,Wales,Non-COVID-19 admissions&#10;,329
13-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),29
13-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,78
13-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),24
13-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,55
13-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),23
13-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,98
13-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),28
13-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,26
13-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),21
13-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,27
13-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
13-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,12
13-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),5
13-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,24
13-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
13-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,3
13-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),130
13-Apr-20,Wales,Non-COVID-19 admissions&#10;,311
14-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),16
14-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,95
14-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),21
14-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,72
14-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),21
14-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,135
14-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),23
14-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,33
14-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),9
14-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,32
14-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
14-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,13
14-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),16
14-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,34
14-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
14-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,2
14-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),106
14-Apr-20,Wales,Non-COVID-19 admissions&#10;,403
15-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),36
15-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,119
15-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),34
15-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,74
15-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),19
15-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,150
15-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),32
15-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,43
15-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),19
15-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,82
15-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
15-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,14
15-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),11
15-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,65
15-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
15-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,7
15-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),151
15-Apr-20,Wales,Non-COVID-19 admissions&#10;,540
16-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),20
16-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,123
16-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),22
16-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,118
16-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),23
16-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,149
16-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),16
16-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,52
16-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),11
16-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,97
16-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
16-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,15
16-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),12
16-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,45
16-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
16-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,10
16-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),104
16-Apr-20,Wales,Non-COVID-19 admissions&#10;,594
17-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),31
17-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,147
17-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),35
17-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,106
17-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),18
17-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,189
17-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),26
17-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,46
17-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),15
17-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,89
17-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
17-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,16
17-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),26
17-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,54
17-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
17-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,5
17-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),151
17-Apr-20,Wales,Non-COVID-19 admissions&#10;,636
18-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),29
18-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,158
18-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),22
18-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,88
18-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),28
18-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,142
18-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),22
18-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,57
18-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),13
18-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,79
18-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
18-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,17
18-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),15
18-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,45
18-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
18-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,7
18-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),129
18-Apr-20,Wales,Non-COVID-19 admissions&#10;,576
